Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,PredictedSalePrice
1471,120,2,26.0,5858,1,2,0,3,0,2,0,12,2,2,4,2,7,5,1999,1999,1,0,7,8,2,0.0,2,4,2,2,3,3,2,1051.0,1,0.0,354.0,1405.0,0,0,1,3,1337,0,0,1337,1.0,0.0,2,0,2,1,2,5,6,1,1,1,1999.0,0,2.0,511.0,3,4,2,203,68,0,0,0,0,2,4,3,0,6,2010,8,4,277726.92702183407
1472,160,4,21.0,1680,1,2,3,3,0,4,0,2,2,2,3,4,6,5,1971,1971,1,0,6,6,1,504.0,3,4,1,3,3,3,4,156.0,5,0.0,327.0,483.0,0,4,1,3,483,504,0,987,0.0,0.0,1,1,2,1,3,5,6,0,5,5,1971.0,2,1.0,264.0,3,4,2,275,0,0,0,0,0,2,4,3,0,2,2010,0,4,187469.2625431174
1473,160,4,21.0,1680,1,2,3,3,0,4,0,2,2,2,3,4,5,5,1971,1971,1,0,6,6,1,492.0,3,4,1,3,3,3,4,300.0,5,0.0,225.0,525.0,0,4,1,3,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,6,0,5,5,1997.0,2,1.0,320.0,3,4,2,0,0,0,0,0,0,2,4,3,0,3,2010,8,4,169636.52599861496
1474,160,3,24.0,2280,1,2,3,3,0,2,0,13,2,2,3,4,6,6,1975,1975,1,0,8,2,2,0.0,3,4,1,3,3,3,0,514.0,5,0.0,341.0,855.0,0,4,1,3,855,601,0,1456,0.0,0.0,2,1,3,1,2,6,6,1,4,1,1975.0,2,2.0,440.0,3,4,2,173,0,0,0,0,0,2,4,3,0,6,2010,8,4,225265.68109536893
1475,120,3,24.0,2280,1,2,3,3,0,2,0,13,2,2,3,2,7,6,1975,1975,1,0,8,2,2,0.0,3,4,1,2,3,3,5,0.0,5,0.0,836.0,836.0,0,0,1,3,836,0,0,836,0.0,0.0,1,0,2,1,3,4,6,0,5,1,1975.0,2,1.0,308.0,3,4,2,0,30,0,0,0,0,2,4,3,0,6,2010,8,4,184545.1697593443
1476,60,3,102.0,12858,1,2,0,3,0,4,0,16,2,2,0,4,9,5,2009,2010,1,0,10,12,3,162.0,0,4,2,0,3,3,5,0.0,5,0.0,1590.0,1590.0,0,0,1,3,1627,707,0,2334,0.0,0.0,2,1,3,1,0,10,6,1,2,1,2009.0,0,3.0,751.0,3,4,2,144,133,0,0,0,0,2,4,3,0,1,2010,6,5,429433.87824411737
1477,20,3,94.0,12883,1,2,0,3,0,0,0,16,2,2,0,2,8,5,2009,2010,1,0,10,12,3,256.0,2,4,2,2,3,3,5,0.0,5,0.0,1544.0,1544.0,0,0,1,3,1544,0,0,1544,0.0,0.0,2,0,3,1,2,7,6,0,5,1,2009.0,1,3.0,868.0,3,4,2,0,35,0,0,0,0,2,4,3,0,6,2010,6,5,319717.22858061874
1478,20,3,90.0,11520,1,2,3,3,0,4,0,16,4,2,0,2,9,5,2005,2005,3,0,10,12,1,615.0,2,4,2,0,3,3,2,110.0,5,0.0,1588.0,1698.0,0,0,1,3,1698,0,0,1698,0.0,0.0,2,0,3,1,0,7,6,1,2,1,2005.0,0,3.0,730.0,3,4,2,192,74,0,0,0,0,2,4,3,0,6,2010,8,4,382753.5597251924
1479,20,3,79.0,14122,1,2,0,3,0,4,0,16,2,2,0,2,8,5,2005,2006,3,0,5,5,1,240.0,2,4,2,0,3,3,2,28.0,5,0.0,1794.0,1822.0,0,0,1,3,1822,0,0,1822,0.0,0.0,2,0,3,1,0,8,6,1,2,1,2005.0,1,3.0,678.0,3,4,2,0,119,0,0,0,0,2,4,3,0,2,2010,8,4,375505.5399551466
1480,20,3,110.0,14300,1,2,3,1,0,4,1,16,2,2,0,2,9,5,2003,2004,3,0,10,12,1,1095.0,0,4,2,0,3,1,2,1373.0,5,0.0,1473.0,2846.0,0,0,1,3,2696,0,0,2696,1.0,0.0,2,1,3,1,0,10,6,2,2,1,2003.0,0,3.0,958.0,3,4,2,220,150,0,0,0,0,2,4,3,0,6,2010,8,4,502880.36162324273
1481,60,3,105.0,13650,1,2,3,3,0,0,0,16,2,2,0,4,8,5,2002,2002,1,0,10,12,1,232.0,2,4,2,2,3,1,2,578.0,5,0.0,1093.0,1671.0,0,0,1,3,1687,563,0,2250,1.0,0.0,2,1,3,1,2,7,6,1,0,1,2002.0,0,3.0,756.0,3,4,2,238,130,0,0,0,0,2,4,3,0,6,2010,8,4,360016.30614850903
1482,120,3,41.0,7132,1,2,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,0,10,12,3,178.0,2,4,2,2,3,2,2,24.0,5,0.0,1346.0,1370.0,0,0,1,3,1370,0,0,1370,0.0,0.0,2,0,2,1,2,6,6,1,2,1,2006.0,1,2.0,484.0,3,4,2,120,49,0,0,0,0,2,4,3,0,4,2010,8,4,292904.74050874007
1483,20,3,100.0,18494,1,2,0,3,0,0,0,8,2,2,0,2,6,5,2005,2005,1,0,10,12,2,0.0,2,4,2,2,3,3,5,0.0,5,0.0,1324.0,1324.0,0,0,1,3,1324,0,0,1324,0.0,0.0,2,0,3,1,2,6,6,0,5,1,2005.0,0,2.0,430.0,3,4,2,36,23,0,0,0,0,2,4,3,0,1,2010,8,4,255822.31183328782
1484,120,3,43.0,3203,1,2,3,3,0,4,0,0,2,2,4,2,7,5,2006,2006,1,0,10,12,1,14.0,2,4,2,2,3,0,2,16.0,5,0.0,1129.0,1145.0,0,0,1,3,1145,0,0,1145,0.0,0.0,2,0,2,1,2,6,6,0,5,1,2006.0,0,2.0,437.0,3,4,2,100,116,0,0,0,0,2,4,3,0,1,2010,8,4,246755.8286702321
1485,80,3,67.0,13300,1,2,0,3,0,4,0,8,2,2,0,6,7,5,2004,2004,1,0,10,12,2,0.0,2,4,2,2,3,3,2,326.0,5,0.0,58.0,384.0,0,0,1,3,744,630,0,1374,1.0,0.0,2,1,3,1,2,7,6,1,2,3,2004.0,0,2.0,400.0,3,4,2,100,0,0,0,0,0,2,4,3,0,6,2010,8,4,281912.589258824
1486,60,3,63.0,8577,1,2,0,3,0,4,0,8,2,2,0,4,7,5,2004,2004,1,0,10,12,2,0.0,2,4,2,2,3,3,5,0.0,5,0.0,847.0,847.0,0,0,1,3,847,886,0,1733,0.0,0.0,2,1,3,1,2,7,6,1,2,3,2004.0,0,2.0,433.0,3,4,2,144,48,0,0,0,0,2,4,3,0,4,2010,8,4,290623.9264495808
1487,60,3,60.0,17433,1,2,1,3,0,1,0,15,2,2,0,4,8,5,1998,1998,3,0,10,12,1,114.0,2,4,2,0,3,3,5,0.0,5,0.0,1629.0,1629.0,0,0,1,3,1645,830,0,2475,0.0,0.0,2,1,4,1,2,7,6,1,4,1,1998.0,0,3.0,962.0,3,4,2,23,172,0,0,256,0,2,4,3,0,1,2010,8,4,374278.23073754506
1488,20,3,73.0,8987,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2005,2006,1,0,10,12,1,226.0,2,4,2,2,3,4,5,0.0,5,0.0,1595.0,1595.0,0,0,1,3,1595,0,0,1595,0.0,0.0,2,0,2,1,2,6,6,1,2,1,2005.0,1,3.0,880.0,3,4,2,144,0,0,0,0,0,2,4,3,0,5,2010,8,4,314944.6059124856
1489,20,1,92.0,9215,1,2,3,3,0,4,0,21,2,2,0,2,7,5,2009,2010,3,0,10,12,2,0.0,2,4,2,2,3,3,5,0.0,5,0.0,1218.0,1218.0,0,0,1,3,1218,0,0,1218,0.0,0.0,2,0,2,1,2,4,6,0,5,1,2009.0,1,2.0,676.0,3,4,2,0,136,0,0,0,0,2,4,3,0,4,2010,6,5,266346.03431103565
1490,20,1,84.0,10440,1,2,3,3,0,0,0,21,2,2,0,2,6,5,2005,2005,1,0,10,12,2,0.0,2,4,2,0,3,3,2,1414.0,5,0.0,54.0,1468.0,0,0,1,3,1468,0,0,1468,1.0,0.0,2,0,2,1,2,6,6,1,2,1,2005.0,0,2.0,528.0,3,4,2,0,102,0,0,216,0,2,4,3,0,5,2010,8,4,321732.556009077
1491,60,3,70.0,11920,1,2,3,3,0,4,0,20,2,2,0,4,7,5,2004,2004,1,0,10,12,1,122.0,2,4,2,2,3,0,5,0.0,5,0.0,831.0,831.0,0,0,1,3,831,828,0,1659,0.0,0.0,2,1,3,1,2,8,6,0,5,1,2004.0,1,2.0,484.0,3,4,2,144,68,0,0,0,0,2,4,3,0,4,2010,8,4,295337.2151619764
1492,30,2,70.0,9800,1,2,3,3,0,0,0,20,1,2,0,2,5,5,1920,1950,1,0,11,13,2,0.0,3,1,0,3,3,3,5,0.0,5,0.0,816.0,816.0,0,4,0,0,1012,0,0,1012,0.0,0.0,1,0,2,1,3,5,6,0,5,5,1920.0,2,1.0,429.0,3,4,2,121,0,80,0,0,0,2,4,3,0,4,2010,8,4,175877.65766560822
1493,20,3,39.0,15410,1,2,0,3,0,1,0,19,7,2,0,2,6,6,1974,2002,3,0,8,9,0,250.0,3,2,1,3,3,1,1,126.0,2,859.0,223.0,1208.0,0,0,1,3,1494,0,0,1494,1.0,0.0,2,0,3,1,3,7,6,2,1,1,1974.0,0,2.0,461.0,3,4,2,296,0,186,0,0,0,2,0,3,0,4,2010,8,0,276197.8098534213
1494,60,3,85.0,13143,1,2,0,3,0,4,0,15,2,2,0,4,8,5,1993,1993,1,0,6,7,1,504.0,2,4,2,2,3,3,3,250.0,2,981.0,0.0,1231.0,0,0,1,3,1251,1098,0,2349,1.0,0.0,2,1,4,1,2,9,6,1,4,1,1993.0,1,3.0,762.0,3,4,2,32,130,0,0,0,0,2,4,3,0,6,2010,8,4,368232.288375149
1495,60,3,88.0,11134,1,2,3,3,0,4,0,15,2,2,0,4,8,5,1992,1993,1,0,6,6,1,180.0,2,4,2,2,3,3,2,1129.0,5,0.0,261.0,1390.0,0,0,1,3,1402,823,0,2225,1.0,0.0,2,1,4,1,2,7,6,1,4,1,1992.0,1,3.0,713.0,3,4,2,198,30,0,0,0,0,2,4,3,0,6,2010,8,4,345292.8258307085
1496,120,1,25.0,4835,1,2,0,3,0,1,0,21,2,2,4,2,7,5,2004,2005,1,0,7,8,2,0.0,2,4,2,0,3,0,2,1298.0,5,0.0,190.0,1488.0,0,0,1,3,1488,0,0,1488,1.0,0.0,2,0,2,1,2,6,6,1,2,1,2004.0,0,2.0,506.0,3,4,2,168,50,0,0,0,0,2,4,3,0,3,2010,8,4,327426.345201076
1497,160,1,39.0,3515,1,1,3,3,0,4,0,21,2,2,4,4,7,5,2004,2004,1,0,10,12,2,0.0,2,4,2,2,3,3,5,0.0,5,0.0,840.0,840.0,0,0,1,3,840,840,0,1680,0.0,0.0,2,1,2,1,2,3,6,0,5,1,2004.0,1,2.0,588.0,3,4,2,0,111,0,0,0,0,2,4,3,0,1,2010,8,4,245770.3419735846
1498,160,1,30.0,3215,1,1,3,3,0,4,0,21,2,2,4,4,7,5,2004,2004,1,0,7,8,1,120.0,2,4,2,2,3,0,2,280.0,5,0.0,320.0,600.0,0,0,1,3,600,600,0,1200,0.0,0.0,2,1,2,1,2,4,6,0,5,5,2004.0,1,2.0,480.0,3,4,2,0,172,0,0,0,0,2,4,3,0,4,2010,3,4,251424.61083861487
1499,160,1,24.0,2544,1,1,3,3,0,4,0,21,2,2,3,4,7,5,2004,2005,1,0,7,8,2,0.0,2,4,2,2,3,3,2,368.0,0,42.0,190.0,600.0,0,0,1,3,600,600,0,1200,1.0,0.0,2,1,2,1,2,4,6,0,5,5,2004.0,1,2.0,480.0,3,4,2,0,172,0,0,0,0,2,4,3,0,2,2010,8,4,243159.05458683893
1500,160,1,24.0,2544,1,1,3,3,0,4,0,21,2,2,3,4,6,5,2005,2005,1,0,10,12,1,216.0,2,4,2,2,3,3,2,376.0,5,0.0,224.0,600.0,0,0,1,3,600,636,0,1236,1.0,0.0,2,1,2,1,2,4,6,0,5,5,2005.0,1,2.0,480.0,3,4,2,0,166,0,0,0,0,2,4,3,0,5,2010,8,4,240316.19735429133
1501,160,1,70.04995836802664,2980,1,2,3,3,0,0,0,21,2,2,4,4,6,5,2000,2000,1,0,7,8,1,1159.0,2,4,2,2,3,3,2,466.0,5,0.0,290.0,756.0,0,0,1,3,756,756,0,1512,1.0,0.0,2,1,2,1,2,5,6,0,5,5,2000.0,2,2.0,440.0,3,4,2,0,32,0,0,0,0,2,4,3,0,5,2010,8,4,284039.2501285514
1502,160,1,70.04995836802664,2403,1,2,0,3,0,2,0,21,2,2,4,4,7,5,2003,2003,1,0,10,12,2,0.0,2,4,2,2,3,3,2,244.0,5,0.0,286.0,530.0,0,0,1,3,530,550,0,1080,0.0,0.0,2,1,2,1,2,4,6,0,5,1,2003.0,1,2.0,496.0,3,4,2,0,50,0,0,0,0,2,4,3,0,6,2010,8,4,226408.72228990262
1503,20,1,57.0,12853,1,1,0,3,0,4,0,21,2,2,0,2,8,5,2010,2010,1,0,5,5,2,0.0,2,4,2,0,2,3,2,1032.0,5,0.0,610.0,1642.0,0,0,1,3,1418,0,0,1418,1.0,0.0,1,1,1,1,2,6,6,1,2,1,2010.0,1,3.0,852.0,3,4,2,160,192,0,224,0,0,2,4,3,0,4,2010,6,5,356654.4989067598
1504,60,1,68.0,7379,1,2,0,3,0,4,0,21,2,2,0,4,8,5,2000,2000,1,0,10,12,2,0.0,2,4,2,2,3,3,2,484.0,5,0.0,491.0,975.0,0,0,1,3,975,873,0,1848,1.0,0.0,2,1,3,1,2,7,6,1,4,1,2000.0,1,2.0,592.0,3,4,2,280,184,0,0,0,0,2,4,3,0,4,2010,8,4,322607.7524704458
1505,20,1,80.0,8000,1,2,3,3,0,4,0,21,2,2,0,2,7,5,2002,2002,1,0,10,12,2,0.0,2,4,2,2,3,3,2,833.0,5,0.0,659.0,1492.0,0,0,1,3,1492,0,0,1492,1.0,0.0,2,0,3,1,2,6,6,1,2,1,2002.0,1,2.0,596.0,3,4,2,277,137,0,0,0,0,2,4,3,0,4,2010,8,4,303788.3292777804
1506,20,3,70.04995836802664,10456,1,2,0,3,0,4,0,14,2,2,0,2,6,6,1967,1967,3,0,6,6,1,120.0,3,4,1,3,3,3,2,506.0,5,0.0,1323.0,1829.0,0,2,1,3,1829,0,0,1829,1.0,0.0,2,0,4,1,3,8,6,0,5,1,1967.0,1,2.0,535.0,3,4,2,0,76,0,0,0,0,2,4,3,0,5,2010,8,4,272067.92797153955
1507,60,3,80.0,10791,1,2,3,3,0,4,0,14,2,2,0,4,6,5,1993,1993,1,0,7,8,2,0.0,3,4,2,2,3,2,2,1137.0,5,0.0,143.0,1280.0,0,0,1,3,1280,1215,0,2495,1.0,0.0,2,1,4,1,2,9,6,1,4,1,1993.0,2,2.0,660.0,3,4,2,224,32,0,0,0,0,2,4,3,0,3,2010,8,4,325162.93333209446
1508,50,3,70.04995836802664,18837,1,2,0,3,0,4,0,14,2,2,0,0,6,5,1978,1978,1,0,7,8,2,0.0,3,4,2,2,3,2,0,687.0,3,46.0,491.0,1224.0,0,4,1,3,1287,604,0,1891,0.0,1.0,3,0,3,1,3,7,6,1,4,1,1978.0,1,2.0,678.0,3,4,2,0,69,0,0,0,0,2,4,3,0,4,2010,8,4,279984.1254799885
1509,60,3,80.0,9600,1,2,3,3,0,4,0,14,2,2,0,4,6,6,1971,1971,1,0,7,8,2,0.0,3,4,1,3,3,3,0,329.0,5,0.0,386.0,715.0,0,4,1,3,930,715,0,1645,0.0,0.0,1,2,4,1,3,7,6,0,5,1,1971.0,1,2.0,441.0,3,4,2,0,78,0,0,0,0,2,1,3,0,6,2010,8,4,228795.82317403238
1510,20,3,80.0,9600,1,2,3,3,0,4,0,12,2,2,0,2,5,5,1966,1966,3,0,10,12,1,172.0,3,4,1,3,3,3,4,698.0,5,0.0,534.0,1232.0,0,4,1,3,1232,0,0,1232,1.0,0.0,1,1,3,1,3,6,6,0,5,1,1966.0,1,2.0,490.0,3,4,2,0,224,0,0,0,0,2,4,3,0,4,2010,8,4,212728.14459363068
1511,20,3,90.0,9900,1,2,3,3,0,0,0,12,2,2,0,2,5,5,1966,1966,3,0,6,6,2,0.0,3,4,2,2,3,3,1,1059.0,5,0.0,150.0,1209.0,0,2,1,3,1209,0,0,1209,1.0,0.0,1,0,3,1,3,6,6,0,5,1,1966.0,1,2.0,504.0,3,4,2,0,0,120,0,0,0,2,4,3,0,4,2010,3,4,230172.12187511474
1512,20,3,88.0,9680,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1967,1967,1,0,11,9,1,268.0,3,4,1,3,3,3,1,1010.0,5,0.0,500.0,1510.0,0,0,1,3,1510,0,0,1510,1.0,0.0,2,0,3,1,2,6,6,0,5,1,1967.0,1,2.0,517.0,3,4,2,0,40,0,0,204,0,2,0,3,0,4,2010,8,4,255784.0783969683
1513,80,3,70.04995836802664,10600,1,1,0,3,0,4,0,12,2,2,0,6,6,5,1964,1964,1,0,6,6,2,0.0,3,4,1,3,3,3,5,0.0,5,0.0,533.0,533.0,0,4,1,3,1131,644,0,1775,0.0,0.0,2,0,3,1,3,8,6,0,5,1,1964.0,2,2.0,480.0,3,4,2,0,172,0,0,0,0,2,4,3,0,5,2010,0,3,232905.00499770278
1514,90,3,98.0,13260,1,2,0,3,0,4,0,12,2,2,2,2,5,6,1962,2001,3,0,6,6,1,144.0,3,4,1,3,3,3,1,1500.0,5,0.0,228.0,1728.0,0,4,1,3,1728,0,0,1728,2.0,0.0,2,0,6,2,3,10,6,0,5,6,1978.5061638868744,3,0.0,0.0,4,5,2,0,0,0,0,0,0,2,4,3,0,1,2010,7,0,216234.71675812523
1515,50,3,68.0,9724,1,2,3,3,0,4,0,12,2,2,0,0,5,7,1952,2002,1,0,7,8,1,265.0,2,4,1,3,3,3,3,670.0,5,0.0,470.0,1140.0,0,2,1,3,1929,532,0,2461,0.0,0.0,2,0,3,1,3,7,3,2,2,5,1994.0,2,2.0,400.0,3,4,2,0,0,0,0,0,0,2,1,3,0,3,2010,8,4,292934.1346788788
1516,50,3,120.0,17360,1,2,3,3,0,0,0,12,0,2,0,0,6,6,1949,1950,1,0,7,8,3,340.0,3,2,1,3,3,3,4,300.0,5,0.0,482.0,782.0,0,4,1,3,1019,537,0,1556,0.0,0.0,2,0,3,1,3,6,6,1,2,1,1949.0,2,2.0,470.0,3,4,2,0,0,150,0,0,0,2,4,3,0,1,2010,8,4,247444.6244543367
1517,85,3,75.0,11380,1,2,0,3,0,4,0,12,2,2,0,5,6,8,1966,2008,1,0,6,6,1,216.0,3,4,1,3,3,1,2,944.0,5,0.0,136.0,1080.0,0,2,1,3,1128,0,0,1128,1.0,0.0,1,0,2,1,2,5,6,1,2,1,1966.0,2,1.0,315.0,3,4,2,238,0,0,0,0,0,2,4,2,1500,1,2010,8,4,249200.2454969664
1518,90,3,70.0,8267,1,2,3,3,0,0,0,12,1,2,2,2,5,5,1958,1958,1,0,6,6,2,0.0,3,4,1,3,3,3,5,0.0,5,0.0,1604.0,1604.0,0,4,1,3,1604,0,0,1604,0.0,0.0,2,0,4,2,3,8,6,0,5,1,1958.0,2,2.0,576.0,3,4,2,42,0,0,0,0,0,2,4,3,0,3,2010,8,4,198528.6723773165
1519,20,3,70.0,8197,1,2,3,3,0,4,0,12,2,2,0,2,7,5,2003,2009,1,0,10,12,1,506.0,2,4,2,2,3,3,2,1188.0,5,0.0,292.0,1480.0,0,0,1,3,1480,0,0,1480,1.0,0.0,2,0,3,1,2,7,6,0,5,1,2003.0,1,2.0,620.0,3,4,2,252,73,0,0,0,0,2,2,2,300,2,2010,8,4,308967.03510692064
1520,20,3,70.04995836802664,8050,1,2,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,0,7,8,1,150.0,3,4,1,3,3,3,1,856.0,4,162.0,125.0,1143.0,0,4,1,3,1143,0,0,1143,1.0,0.0,1,0,3,1,3,6,6,0,5,1,1959.0,1,1.0,308.0,3,4,2,0,0,0,0,0,0,2,0,3,0,5,2010,8,4,203720.20577575918
1521,20,3,87.0,10725,1,2,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,0,7,8,1,91.0,3,4,1,3,3,3,4,936.0,5,0.0,270.0,1206.0,0,1,1,3,1206,0,0,1206,0.0,0.0,1,0,3,1,3,6,6,0,5,1,1959.0,1,1.0,312.0,3,4,2,0,21,0,0,0,0,2,4,3,0,5,2010,8,4,198249.0162310102
1522,20,3,80.0,10032,1,2,3,3,0,4,0,12,2,2,0,2,6,5,1959,1959,1,0,11,13,3,432.0,3,4,1,3,3,3,4,734.0,5,0.0,510.0,1244.0,0,0,1,3,1580,0,0,1580,1.0,0.0,1,1,3,1,3,6,6,2,2,1,1956.0,2,2.0,440.0,3,4,2,0,28,0,0,160,0,2,1,3,0,6,2010,8,4,272945.83093225374
1523,50,3,60.0,8382,1,2,3,3,0,4,0,12,2,2,0,0,4,5,1956,1956,1,0,7,8,2,0.0,3,4,1,3,3,3,5,0.0,5,0.0,832.0,832.0,0,4,1,0,832,505,0,1337,0.0,0.0,1,0,3,1,3,5,6,0,5,1,1956.0,2,1.0,263.0,3,4,2,0,0,0,0,0,0,2,4,3,0,2,2010,8,4,175104.95157255302
1524,20,3,60.0,10950,1,2,3,3,0,4,0,12,2,2,0,2,5,7,1952,1952,1,0,12,14,2,0.0,3,4,1,3,3,3,1,339.0,5,0.0,525.0,864.0,0,4,1,3,1064,0,0,1064,0.0,1.0,1,0,2,1,1,4,6,0,5,5,1952.0,2,1.0,318.0,3,4,2,0,0,0,0,0,0,2,4,3,0,5,2010,8,4,207851.19782598317
